id;fecha;valor;fecha_pago
1;2020-04-28T14:43:33;66735;2020-04-27T19:21:00
2;2020-04-27T20:39:26;25896;2020-04-28T08:45:22
3;2020-04-28T02:23:45;17222;2020-04-28T05:37:34
4;2020-04-28T02:08:53;97186;2020-04-28T06:39:48
5;2020-04-27T20:52:31;26606;2020-04-28T04:22:29
6;2020-04-28T07:15:47;87056;2020-04-28T07:20:04
7;2020-04-28T06:58:43;23235;2020-04-27T20:34:03
8;2020-04-28T11:42:48;11237;2020-04-28T02:18:03
9;2020-04-27T23:20:28;67822;2020-04-27T20:30:26
10;2020-04-28T11:57:59;99908;2020-04-27T16:46:47
